headline,writers,date,genre,content
Lebanon to take steps to fix finance sector shortfalls - Finance Intelligence Unit,Unknown,"May 26, 2023 at 7:59 pm",Africa+Lebanon+Middle East+News,"Lebanon will work over the next year to address deficiencies in policing corruption identified by a financial crime watchdog, the country's Financial Intelligence Unit said on Friday, Reuters reports. The Special Investigation Commission said in a statement it ""discussed and adopted"" an evaluation report by the Middle East and North Africa Financial Action Task Force (MENAFATF) during the body's plenary this week in Bahrain. The evaluation is a crucial step towards regaining or further degrading trust in Lebanon's financial system, which has been in a tailspin since 2019. Its authorities are struggling to implement reforms to secure a deal with the International Monetary Fund for a bailout. The report will be published in June, the Commission said, without noting any amendments to the draft. A draft seen by Reuters showed Lebanon scored as only partially compliant in several categories, including anti-money laundering measures, transparency on beneficial ownership of firms and mutual legal assistance in asset freezing and confiscation. The cumulative score put Lebanon ""one mark over the threshold to be grey-listed,"" said a diplomatic source. The Commission did not respond to requests for comment. Its statement cited ""recent uninformed statements and analysis that Lebanon may be listed on the 'grey list' this week'."" ""Lebanon will have to take corrective measures to address the identified deficiencies and submit to MENAFATF a progress report during 2024,"" it added. Being on the grey list could disrupt a country's capital flows, the IMF found in a 2021 paper, with banks possibly ending relationships with customers in high-risk countries to reduce compliance costs. Other risks include reputational damage, credit ratings adjustments, trouble obtaining global finance and higher transaction costs. Lebanon's financial crisis has severely restricted banking transactions and many corresponding institutions have cut their ties to the country. It has made little progress on reforms required by the IMF, and its Central Bank Governor has been charged by France in a financial fraud case, triggering an Interpol Red Notice. READ: Civil groups file legal action to impose sanctions on 'corrupt' Lebanon politicians, bankers   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
"3 dead, 12 missing as migrant boat capsizes in Aegean Sea",Unknown,"May 26, 2023 at 6:18 pm",Europe & Russia+Greece+News,"Three migrants were killed and twelve others are still missing after their boat capsized off the Mykonos Island in the Aegean Sea on Friday morning, Greek state broadcaster ERT said, Anadolu Agency reports. The coast guard has been carrying out a search and rescue operation since the early hours of Friday. Two migrants, a Syrian and a Palestinian, who were on board the boat, were rescued. Initially, the migrants, who were rescued and transported safely to the island's port, said six people were aboard the boat, but they later confirmed that 15 people were on the boat. Several humanitarian groups have continuously accused the Greek government for its treatment of migrants arriving in Greece and its illegal push backs which violate several human rights laws. In April, video footage recorded on the island of Lesvos by an Austrian activist and later released by the US-based newspaper The New York Times, revealed the illegal push backs the Greek government has been denying. The video showed 12 migrants, including children and a 6-month-old infant, being transported by a van to a nearby remote area where they were forcefully seen boarding a high-speed inflatable boat. According to the report, the man who drove the vehicle was wearing a balaclava. The irregular migrants were later transferred to a Greek Coast Guard vessel before being abandoned on a floating boat in the middle of the Aegean Sea and set adrift until they were picked up by the Turkish Coast Guard. Former Greek Prime Minister, Kyriakos Mitsotakis, argued that his government's policy towards irregular migration is tough but fair, and that the video is being investigated. In 2015-16, Greece was at the epicentre of the migration crisis, with nearly 1 million refugees crossing its borders in search of safety from war-stricken countries. READ: Greek PM says migrant 'push back' inquiry underway, AFP reports   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Women 'most important heroes' of Turkiye struggle to serve nation: President,Unknown,"May 26, 2023 at 5:26 pm",Europe & Russia+News+Turkey,"Turkiye has realised many projects about women to enhance their area of ​​freedom, President Recep Tayyip Erdogan said on Friday, Anadolu Agency reports. ""Over the course of our 40-year-long journey in politics, we have always walked shoulder to shoulder with our women … We have always overcome the obstacles raised before us and the attacks that even reached the point of targeting our lives with the support of women. ""Today, I would like to underline, once again, that women are the most important heroes of our struggle to serve our country and nation,"" Erdogan said at a meeting with women's societies in Istanbul. Turkiye has expanded the areas of freedom, employment and representation of women without any discrimination, he stressed. ""We have increased the rate of women completing at least one level of education from 70 per cent to 88 per cent. We have increased women in employment from 6 million to 10.5 million,"" Erdogan said. The President added that the efforts and labour of women contributed to Turkiye's progress in all areas from economy to trade, from rights and freedoms to agriculture, tourism, education and health. Erdogan also hailed Diyarbakir mothers who continue their sit-in protest against the PKK terror group in south-eastern Turkiye. ""I pay my respects to the mothers of Diyarbakir, who have been on the guard for months to take back their children that the separatist organisation forcibly smuggled into the mountains,"" he said. He added that the mothers defy terrorist organisations through their watch for their children. The sit-in protest against the PKK terror group in south-eastern Turkiye began in September 2019 in Diyarbakir, when three mothers said their children had been forcibly recruited by YPG/PKK terrorists. The sit-in outside the offices of the Peoples' Democratic Party (HDP) – a party currently facing a closure case, and which the government accuses of having links to the terrorist YPG/PKK – has been growing every day. Demonstrations have also spread to other provinces, including Van, Mus, Sirnak and Hakkari. READ: Turkiye women in Belgium tell secrets behind success   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Israel mulls imposing restrictions on foreign funding for NGOs,Unknown,"May 26, 2023 at 5:14 pm",Israel+Middle East+News+Palestine,"The Israeli government is considering a bill aimed at imposing restrictions on foreign funding for NGOs, local media reported yesterday. According to media reports, the bill states that any nonprofit group that engages in public advocacy two years before or after receiving a donation from a foreign government will lose its status as a public institution and will no longer be eligible for tax exemptions. In addition, those non-profits will be hit with a 65 per cent income tax. The reports indicated that many organisations in Israel and the Palestinian territories depend on foreign funding, and the proposed bill could severely impact their ability to operate. The legislation, drafted by a member of Prime Minister Benjamin Netanyahu's Likud Party, Ariel Kallner, is set to be brought before the Knesset's high-level Ministerial Committee for Legislation on Sunday. Kallner said the goal of the tax is to ""prevent foreign interests from gaining the upper hand."" Kallner accused European countries of deliberately undermining Israel's interests through their financing activities. READ: Israel to impose 65% tax on human rights groups critical of the occupation state   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Anger and fear among Syrians amid Turkiye opposition anti-immigrant campaign,Unknown,"May 26, 2023 at 5:08 pm",Europe & Russia+Middle East+News+Syria+Turkey,"Like many Syrians in Turkiye, Ghaith Sameer is awaiting the result of Sunday's election runoff with trepidation, fearing a win for an opposition candidate who promises to swiftly repatriate migrants, Reuters reports. Sameer fled Syria's civil war in 2012 and is now one of over 3.4 million Syrians living in neighbouring Turkiye, where economic woes have aggravated a rising tide of hostility that has washed into the presidential election. ""The opposition's promises frighten me and make me angry, as well, because they make Turkish citizens hate us,"" said Sameer, who took Turkish nationality two years ago and plans to vote on Sunday for President Tayyip Erdogan. While Erdogan has a good chance to win the runoff after falling just short of an outright first-round victory two weeks ago, his challenger, Kemal Kilicdaroglu, has embraced anti-migrant rhetoric to try to turn the race around. READ: The Syrians in Turkiye are between a rock and a hard place Kilicdaroglu has teamed up with a far-right nationalist party and promised to repatriate all migrants within a year, as posters bearing his face have sprouted across Turkish cities vowing that Syrians will leave. Although Erdogan has been more welcoming to Syrians and other migrants in Turkiye, which has the world's biggest refugee population of 5 million, he has also made moves to accelerate a return of migrants to Syria. For Syrians, the election and the anti-migrant turn in Turkish politics have cast new uncertainty over their future, causing many to wonder if they will have to start again, having already fled a deadly war in their homeland. Sameer, 38, said many of his friends and relatives were putting off plans until after the election when things would be clearer, with his brother even waiting to replace a broken food processor. ""Most Syrians now feel as if the course of their entire lives depends on the results of the elections,"" he lamented. Even though he has Turkish citizenship, Sameer has still been making alternative plans ""in case anything happens"". He has even considered moving with his wife and two small children to a country where conditions for Syrians might be better, such as Egypt or the Kurdish region of Iraq. When Kilicdaroglu announced a deal on Wednesday for far-right Victory Party leader, Umit Ozdag, to back him in the runoff, Ozdag said their promised departure of migrants would lift ""the burden"" on the economy and stop Turkiye becoming ""migrant-istan"". Playing on xenophobic stereotypes that accuse Syrians and Afghan refugees of theft, sexual harassment and other crimes, Ozdag said repatriating migrants would ""make the streets safe again"". Such language and Kilicdaroglu's new anti-migrant posters that hang from lamp posts and over underpasses have been particularly alarming for Syrians. ""Can anyone with even a shred of humanity accept to see signs hanging on the walls of schools and crowded streets threatening to deport Syrians?"" asked Ahmad, a 40-year-old Syrian who, like Sameer, now has Turkish nationality. READ: Is Turkiye democratic enough not to apply forced repatriation and politicising refugees? Ahmad, who withheld his family name fearing repercussions, said he was worried how the signs would affect Syrian children who can read Turkish because they are educated in the language, and described it as ""repulsive and disgusting hate speech"". Most major warfare has been paused in Syria for years, with Turkiye controlling enclaves across the border where it backs rebels against President Bashar Al-Assad and which are already crowded with displaced people from other parts of Syria. Life across the border is brutally hard, with damaged infrastructure, a ravaged economy and the constant threat that war could suddenly erupt again. People in rebel-held territory fear reprisals if the government retakes those areas. With their fate a growing political issue, many Syrians may still feel unease even if Erdogan beats Kilicdaroglu on Sunday, noting his administration's plans for new housing projects across the border to accelerate their eventual repatriation. Like other regional leaders, Erdogan is also mending fences with Assad,  raising the possibility of a rapprochement that could worry many Syrians in Turkiye. Saad Abdalkader, who has lived in Turkiye since 2015, said he could envisage no stability in Syria while Assad held power, and was considering travelling onwards to Europe in search of safety. He recounted an incident when a friend was robbed, but feared he would be assaulted if he went to the police to illustrate the precarious position many Syrians feel themselves to be in Turkiye. Omar Kadkoy, a Syrian working at the Ankara-based economic think tank, TEPAV, said Syrians still faced ""misery and fear"" in their home country, which would feel like a foreign land to their children. ""It isn't an easy decision to make,"" he said of returning voluntarily, adding that for Syrian children in Turkiye: ""They're moulded by everything that is Turkish. To them, Syria is a bed-time story."" READ: Erdogan rival sharpens tone on migrants before Turkiye runoff   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
"Bahrain schools ordered by King to remove lessons teaching about Israel, normalisation deals",Unknown,"May 12, 2023 at 2:59 pm",Asia & Americas+Bahrain+Israel+Middle East+News+US,"Bahrain's educational institutions have been ordered by King Salman Al Khalifa not to implement any changes to the curriculum that are ""not compatible with Bahrain's national values designed to protect religion and its core pillars."" According to Alarabiya News, the announcement came on Tuesday following issues raised by critics regarding the inclusion of Israel and changes to the maps of the contested Israeli-Palestinian territories. A statement from the government, shared online, said, ""His Royal Highness ordered the Minister of Education to ensure educational curricula adhere to Islamic teachings, in line with the National Action Charter and the Constitution."" ""His Royal Highness reiterated that the Islamic religion is inviolable and should be respected and protected at all costs,"" it added. The amendment made to subjects in primary schools included a lesson on the normalisation of ties between the Gulf State and Israel and removal of lessons on the Jews, reported BBC Arabic. The changes provoked preachers and scholars, issuing statements calling on the Ministry of Education to reconsider the amendments, which resulted in the order from the Crown Prince to suspend lessons teaching about Israel and the normalisation deals. Bahrain and Israel signed a normalisation of a US-brokered Abraham Accords deal in Washington in September 2020 and, since then, they have exchanged diplomats and signed agreements in security and commerce. However, Manama's normalisation with Israel has proven to be widely unpopular by Bahrain's citizens who have routinely held rallies against the 2020 decision. READ: Israeli army assassinates 5th Islamic Jihad leader   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
"China resumes construction of military base in UAE, defying US objections",Unknown,"April 30, 2023 at 9:33 am",Asia & Americas+China+Middle East+News+UAE+US,"China has resumed construction work on a military base in the United Arab Emirates in defiance of displeasure by the United States, leaked intelligence documents have revealed. According to the Washington Post, leaked US intelligence documents that it obtained reportedly show that Chinese plans to continue construction in its military base in the UAE have gone ahead. The suspected Chinese military facility at Khalifa port near Abu Dhabi is part of plans to create a global network of military facilities at ports across the Middle East, south-east Asia, and Africa by 2030, labelled 'project 141.' The reported continuation of the build-up of that base comes after the works there were forced to halt in 2021 due to US objections. According to the outlet, however, US intelligence detected the resumed construction in December, a mere year after it was apparently halted. READ: China to help UAE land first rover on moon US intelligence continues to monitor Chinese activity at the base and at other locations in the UAE, the documents reportedly show, amid concerns that the Gulf state is drawing ever closer to China. The revelation is predicted to likely further alarm the US government, with the paper highlighting that the presence of Chinese officials at several sensitive military sites has particularly raised concern amongst US intelligence, especially at a time when Washington's allies across the Middle East and Gulf continue to strengthen ties with Beijing. In that regional shift, the UAE, as well as others such as Saudi Arabia, have increasingly been acting in contradiction to American foreign policy interests, even to the point of directly snubbing US concerns with regards to issues such as ties with China and Russia, the refusal to support Ukraine, and the insistence on imposing cuts on oil production.   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
"Brazil´s president: The UN was so strong enough to create Israel, but now can't create a Palestinian state",Unknown,"April 28, 2023 at 11:43 am",Africa+Asia & Americas+Brazil+Egypt+Europe & Russia+France+Germany+India+International Organisations+Iraq+Israel+Japan+Libya+Middle East+News+Nigeria+Palestine+South Africa+Spain+UK+UN+US,"Brazil's President Luiz Inácio Lula da Silva this week slammed the UN's inability to create a Palestinian State in the same manner that it established the state of Israel in 1948. ""The UN was so strong that, in 1948, it managed to create the State of Israel. In 2023, it fails to create a Palestinian state,"" Lula said. Speaking during an official visit to Spain, Lula continued: ""We live in the world where the UN Security Council, the permanent members, they are the ones who sell the most weapons in the world, they are the biggest participants in wars in the world."" ""When the United States invaded Iraq, there was no discussion in the Security Council. When France and England invaded Libya and when Russia invaded Ukraine, there was no discussion either,"" he added. Astonished by the reduced role non-member states play in the international organisation, he asked the UN Security Council not to limit itself to its permanent members. ""I am therefore left wondering whether it is up to us, other countries that are not permanent [members] of the UN Security Council, to make a change. Why aren't Brazil, Spain, Japan, Germany, India, Nigeria, Egypt, and South Africa [ permanent members]? The winners of the Second World War currently determine that, but the world has changed."" ""We need to build a new international mechanism that does things differently. I think it's time for us to start changing things and it's time for us to create a G20 of Peace, which should be the UN,"" he said. His calls were slammed by the pro-Israel group, StandWithUs Brasil, who said: ""Contrary to what the president of the Republic, Luiz Inácio Lula da Silva said, Israel was not created by the United Nations. In 1947, what the UN Partition advocated was the creation of two countries, one for Jews and the other for Arabs. The Jews accepted; the Arabs did not."" ""The State of Israel was founded after a war waged by the armies of Egypt, Jordan, Syria, Lebanon, and Iraq against the Jews."" ""As for a State for Palestinians, neither the UN nor other international organisations currently have the role of creating it, unless Palestinians and Israelis themselves come to seal the peace independently,"" the statement added. READ: Palestinian groups ask Brazil to denounce Israeli apartheid   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
"Qatar Chief of Staff, GCC military official discuss military cooperation",Unknown,"May 23, 2023 at 1:14 pm",GCC+International Organisations+Middle East+News+Qatar,"Qatar's Chief of Staff yesterday met with the Gulf Cooperation Council (GCC)'s Assistant Secretary General for Military Affairs in the Qatari capital, Doha, where they discussed issues of mutual concern, according to a statement released by the Qatari Ministry of Defence. The meeting between Qatar's Lieutenant General Salim Al-Nabit and the GCC's Major General Issa Rashid Al Mohannad took place on the sidelines of a visit by the GCC military official to the Qatari capital, Doha. A number of senior officers from the Qatari Armed Forces attended the meeting. The GCC's Unified Military Command, which was established in 2013, supports the efforts of the GCC member states in confronting potential threats to these countries within the framework of the joint defence agreement. The Unified Military Command is responsible for coordinating between GCC countries and the global coalition to combat terrorism, which includes more than 40 countries. READ: GCC plans to implement unified 'Schengen-style' visa for tourists, expats   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Palestine: Working hours to be changed at Israel crossing with Jordan,Unknown,"May 23, 2023 at 1:02 pm",Israel+Jordan+Middle East+News+Palestine,"The Palestinian General Administration of Crossings and Borders said yesterday that the working hours of Al-Karama crossing (the Palestinian side of the King Hussein Bridge) will change on Thursday. The administration said that the crossing is set to operate until 12:30pm in both directions, due to maintenance work. The Palestinian body called on travellers to arrange their travel hours in line with the opening hours of the crossing to avoid overcrowding. The King Hussein crossing, also known as Al-Karama or Allenby Bridge, is the only crossing available for travellers between Jordan and the occupied West Bank. Palestinians from the West Bank and occupied East Jerusalem have no other means to travel. READ: 5 Palestinians denied travel via Allenby crossing   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Israel discusses regional options to end challenge of Palestinian resistance in Gaza,Unknown,"May 23, 2023 at 1:00 pm",Israel+Middle East+News+Palestine,"Israel is clear that the resistance groups in the Gaza Strip pose an insurmountable military and security challenge. Discussions are now taking place in the occupation state about regional options to overcome this challenge, either by increasing the targeting of Iran or by asking Egypt to shoulder the burden that is growing heavier by the day. Knowing that the end of another offensive against Gaza means the beginning of preparations for the next one, there is not much that can be done. Gaza is a strategic problem for the occupation, even though it is not the most dangerous threat. ""Israel finds itself obliged to deal with all these challenges simultaneously, without giving equal attention to all of them, and certainly not to the less important issues, especially if they are not urgent,"" wrote Ehud Eilam, a military historian at Israel Defence magazine. ""The Gaza Strip, with all its escalating factors, is waiting, even if there is no other option. In this case, the most serious problem is Iran and its nuclear programme, knowing that dealing with Iran is linked to the Gaza Strip, as there are solutions for it, but they are all problematic."" Palestine, Israel: 75 years of massacres, abuse and displacement – Cartoon [Sabaaneh/Middle East Monitor]In his article translated by Arabi21, he added, ""Israel wants to replace the rule of Hamas in the Gaza Strip with another Palestinian party, or another Arab side that is more moderate, such as Egypt."" Egypt, he said, seems suitable for this position because it has borders with the Gaza Strip, ruled it previously, and the two people maintain close relations. ""Cairo also maintains its communications with the leaders of the factions in Gaza, but it is embroiled in its economic problems. The situation In Egypt has become extremely critical recently due to the war in Ukraine and rising poverty rates among its citizens, while it does not want to have responsibility for two million impoverished Palestinians in Gaza.""
Eilam pointed out that the Palestinian Authority barely governs the West Bank due to the difficulties and uncertainties regarding the post-Mahmoud Abbas era. ""There is an extremely small chance that the PA will be able to control Gaza, while Israel does not wish to occupy the Strip again… All of the problems that Gaza is experiencing make dealing with it from the outside better than inside.""
The search is on for a middle-ground solution for the future of Gaza, between radical re-occupation and the continuation of the status quo. ""The cost of destroying its military infrastructure will be high, especially if it lasts longer than planned, which is certainly possible,"" the historian concluded. While the possibility of greater Egyptian intervention in Gaza exposes the Israeli failure to cope with the escalating resistance, an Egyptian role is probably the only viable option for the occupation state to consider.
OPINION: Is the Palestine Resistance rendering Israel supremacy useless?
CategoriesIsraelMiddle EastNewsPalestine
 Show Comments






Unless otherwise stated in the article above, this work by Middle East Monitor is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License. If the image(s) bear our credit, this license also applies to them. What does that mean? For other permissions, please contact us.


Spotted an error on this page? Let us know


 













This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.


Δ Palestine, Israel: 75 years of massacres, abuse and displacement – Cartoon [Sabaaneh/Middle East Monitor] In his article translated by Arabi21, he added, ""Israel wants to replace the rule of Hamas in the Gaza Strip with another Palestinian party, or another Arab side that is more moderate, such as Egypt."" Egypt, he said, seems suitable for this position because it has borders with the Gaza Strip, ruled it previously, and the two people maintain close relations. ""Cairo also maintains its communications with the leaders of the factions in Gaza, but it is embroiled in its economic problems. The situation In Egypt has become extremely critical recently due to the war in Ukraine and rising poverty rates among its citizens, while it does not want to have responsibility for two million impoverished Palestinians in Gaza."" Eilam pointed out that the Palestinian Authority barely governs the West Bank due to the difficulties and uncertainties regarding the post-Mahmoud Abbas era. ""There is an extremely small chance that the PA will be able to control Gaza, while Israel does not wish to occupy the Strip again… All of the problems that Gaza is experiencing make dealing with it from the outside better than inside."" The search is on for a middle-ground solution for the future of Gaza, between radical re-occupation and the continuation of the status quo. ""The cost of destroying its military infrastructure will be high, especially if it lasts longer than planned, which is certainly possible,"" the historian concluded. While the possibility of greater Egyptian intervention in Gaza exposes the Israeli failure to cope with the escalating resistance, an Egyptian role is probably the only viable option for the occupation state to consider. OPINION: Is the Palestine Resistance rendering Israel supremacy useless?   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Israel bombs home of martyr Moataz Khawaja in the town of Ni'lin,Unknown,"May 23, 2023 at 12:56 pm",Israel+Middle East+News+Palestine+Videos & Photo Stories,"Israeli occupation forces this morning demolished the home of Palestinian martyr Moataz Khawaja, located in the town of Ni'lin, in the Ramallah district of the occupied West Bank. The occupation forces stormed the town of Ni'lin, west of Ramallah, and surrounded Khawaja's home in preparation for its demolition. They fired tear gas at the homes of Palestinians in the neighbourhood and positioned snipers on the roofs of several buildings in the town. The occupation forces forced the residents of the houses near Khawaja's house to leave. The Palestine Red Crescent Society announced that its staff provided first aid treatment to four people who were wounded by the occupation's bullets in the town. READ: Palestinians and Israelis resume normal life after Gaza truce   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
"Indonesia: Iran's Raisi meets Widodo in Jakarta, signs trade deal",Unknown,"May 23, 2023 at 12:51 pm",Asia & Americas+Indonesia+Iran+Middle East+News+UAE,"Iranian President Ebrahim Raisi has met with his Indonesian counterpart Joko Widodo as part of a two-day visit to Jakarta aimed at strengthening economic ties. Leading a high-level delegation, Raisi was officially welcomed by Widido shortly after arriving today. The two presidents took part in a ceremony symbolising peace and friendship between the two countries by planting a sapling at the Merdeka Palace, after receiving a 21-gun salute, PressTV reported. The pair later signed a preferential trade agreement (PTA), the second deal of its kind struck between Indonesia and a Middle Eastern country. The first agreement was signed in July of last year with the UAE. Iran's President Ebrahim Raisi visits Indonesia to meet his counterpart Joko Widodo in a bid to strengthen economic ties between the two countries pic.twitter.com/ULdFNlR6Xm — TRT World Now (@TRTWorldNow) May 23, 2023  Widodo, speaking after the signing ceremony, said he hoped that the agreement ""would increase trade between Indonesia and Iran"" but did not provide details. Trade between Tehran and Jakarta dropped from $715.5 million to $141.6 million in 2019 after the US imposed sanctions on Iran. READ: Iran appoints assistant FM as ambassador to Saudi Arabia Speaking through a translator, Raisi said that ""sanctions and threats will not stop us."" ""Partnerships and relationships with neighbouring countries and Islamic countries and countries with the same views are our priority,"" he added. Before leaving Jakarta later tomorrow, Raisi will also meet with Indonesia's House Speaker Puan Maharani, religious figures and business people. He'll also visit Jakarta's Istiqlal Grand Mosque, the largest in Southeast Asia, and give public lectures in an Islamic university. Widodo's last trip to Iran was in 2016 while the last official state visit from Iran was in 2015 when former President Hassan Rouhani attended the 50th commemoration of the Asia-Africa Conference in Bandung. According to Reuters, under the PTA, Iran will give Indonesia greater access to products like processed food and pharmaceuticals, textile, palm oil, coffee and tea, while Indonesia will lower tariffs for Iran's oil and chemical products, metals and some dairy products. READ: Indonesia group hacks into Israel ministries' websites   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
OIC to hold exceptional meeting on Israel violations of Al-Aqsa,Unknown,"May 23, 2023 at 11:29 am",International Organisations+Israel+Jordan+Middle East+News+OIC+Palestine+Saudi Arabia,"The Organisation of Islamic Cooperation (OIC) is to hold an exceptional meeting on Saturday to discuss the increasing Israeli aggression on Al-Aqsa Mosque. According to the Wafa news agency, the meeting is to be held at the request of the State of Palestine and the Hashemite Kingdom of Jordan. This came in a statement to the OIC's General Secretariat which said it will hold an emergency, open-ended meeting of the Executive Committee at the level of Permanent Representatives. It said that the meeting would take place at the headquarters of the General Secretariat in Jeddah, Saudi Arabia. On Monday, the OIC strongly condemned ""the heinous crime"" committed by the Israeli occupation forces in the northern occupied West Bank city of Nablus, which led to the killing of three Palestinian men and wounding of six others. ""The OIC considers that this crime constitutes an extension of the daily crimes and aggression committed by the Israeli occupation against the Palestinian people,""a statement said. It stated that this ""is a flagrant violation of international humanitarian law,"" calling for a full investigation and for holding the occupation accountable. READ: Organisation of Islamic Cooperation condemns Israel airstrikes on Gaza killing 13 Palestinians   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Iran appoints assistant FM as ambassador to Saudi Arabia,Unknown,"May 23, 2023 at 10:58 am",Iran+Middle East+News+Saudi Arabia,"The Iranian Ministry of Foreign Affairs announced the appointment of assistant to the Foreign Minister for Gulf Affairs, Alireza Enayati, as ambassador to Saudi Arabia. According to the local news agency Mehr, Enayati has held the position of assistant to the Iranian foreign minister for Gulf affairs since 2018. He also worked at the Iranian embassy in Kuwait in 2013, and played an active role in the negotiations that led to reconciliation between Tehran and Riyadh. He announced, last month, the reopening of the embassies of the two countries in Tehran and Riyadh, and the meeting of the foreign ministers of Saudi Arabia and Iran. Relations between Saudi Arabia and Iran resumed in March after a seven-year estrangement through long negotiations that took place under the auspices of China. READ: Iran welcomes Saudi Arabia 'positive' position on restoring relations   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
"Vandals attack mosque in northern Israel, demolish its minbar",Unknown,"May 23, 2023 at 9:12 am",Israel+Middle East+News+Palestine,"A group of unknown vandals have attacked a mosque in the Arab majority Old City of Acre (Akko), northern Israel, demolished its minbar and stole its old stones, Arab48 reported yesterday. After a tour, researcher of Arab and Islamic Antiquities and Holy Sites in Palestine, Abdul Raziq Matani, reported a series of attacks on holy sites, including mosques in Palestinian villages which were emptied of their residents to make way for the creation of the state of Israel. The researcher said that mosques continue to fall and collapse, pointing out that Al-Ghabisiyya Mosque in Akka was recently vandalised. Matani noted that the mosque and archaeological monuments in the displaced village have been subjected to excavation, digging and destruction several times. ""The new violations and destruction in Al-Ghabisiyya Mosque included new excavation and digging of the floor of the mosque and damaging and extracting stones from different places, including the foundation stones of the minbar – pulpit, which was completely destroyed,"" he said. He pointed out that after the minbar was destroyed and its stones were stolen, the bottom of it was excavated, as was the floor near the outer mihrab, which was vandalised several months ago. Matani also documented a sharp increase in the cracks across the whole mosque, as well as in the tomb of Sheikh Samaan in the village of Kafr Saba. Israel prevents renovation work from taking place at historical Palestinian sites across the country under the pretext they fall under its sovereignty. OPINION: Not on our dime! Why US Democrats are growingly challenging Israel   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Israel accuses Iran of using civilian ships as 'floating terror bases',Unknown,"May 22, 2023 at 9:02 pm",Iran+Israel+Lebanon+Middle East+News+Palestine,"Israel accused the Iranian Revolutionary Guards Corps (IRGC) on Monday of turning commercial ships into platforms for launching missiles, drones and commandos, saying the objective was to spread Tehran's clandestine naval clout well beyond the Gulf, Reuters reports. The allegation by Defence Minister, Yoav Gallant, came as tensions between the regional foes surge afresh over Iran's nuclear drive and support for Palestinian and Lebanese militias. Showing images of six purportedly repurposed Iranian vessels, five of them named, Gallant told the Herzliya Conference security forum that these were ""floating terror bases"" and that one had recently sailed toward the Gulf of Aden. ""This follows directly on the maritime terrorism Iran has been imposing on the Persian Gulf and Arabian Sea. It is working to expand its activity to the Indian Ocean, too, and later to the Red Sea and to the Mediterranean Sea, as well,"" Gallant said. There was no immediate response from Iran. The last two years have seen Iran and Israel trade blame over a series of unclaimed attacks on their ships in the Gulf. READ: 'Soleimani' warship gives Iran presence in international seas, says navy   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
"Saudi Arabia, Israel in 'advanced contact' for direct Hajj travel",Unknown,"May 22, 2023 at 9:01 pm",Bahrain+Israel+Jordan+Middle East+News+Palestine+Saudi Arabia,"Saudi Arabia and Israel are continuing to cultivate ""advanced contact"" to facilitate direct flights to the Kingdom for Palestinians and Israeli Muslims intending to travel for the annual Hajj pilgrimage. According to the Israeli Channel 12, the two countries are holding discussions regarding the launch of direct flights between Tel Aviv and Saudi airports in order to enable Israel's Muslim citizens to perform the pilgrimage. Citing two Israeli officials, the Channel reported that Saudi Arabia was approaching the discussions with positivity, with the contacts reportedly taking place with ""Saudi support and encouragement"". As part of the initiative, Israel is reported to have already approached airlines in Jordan and Bahrain – both of which Tel Aviv has open ties with – with the proposal to operate direct flights between Ben Gurion Airport and Saudi Arabia, particularly its port city of Jeddah. READ: Israel: normalisation with Saudi Arabia a 'matter of time' It is claimed that Riyadh is putting forward the condition that Palestinians in the Occupied West Bank are also allowed to fly directly from Tel Aviv to Jeddah, as their lack of Israeli citizenship currently restricts them from moving freely within Israel and forces them to travel to Makkah only by transiting third-party countries. The acceptance of that alleged condition will, however, depend on the approval of Israel's internal security service, the Shin Bet. If Tel Aviv and Riyadh do strike a deal on the issue, it is expected that 4,500 Palestinians who are citizens of Israel would potentially be able to travel directly to Saudi Arabia next month in time for the Hajj pilgrimage. READ: Palestine appeals for the UN to help release cancer patient from Israel jail   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
